Learning Rate	Geo Loss	Classfi Loss	L2 Loss	Geo Loss	Classfi Loss	L2 Loss	
0.001000	0.045238	0.721371	1.754812	0.044545	0.685340	1.742370	
0.001000	0.033718	0.752173	0.996058	0.047551	0.778576	1.234099	
0.001000	0.044944	0.685277	1.802221	0.043781	0.704962	1.858316	
0.001000	0.042902	0.689403	1.193736	0.042514	0.730982	1.153654	
0.001000	0.045199	0.706119	1.563684	0.043900	0.672339	1.566293	
0.001000	0.043383	0.619605	1.802919	0.043043	0.934676	1.986592	
0.001000	0.044155	0.607259	1.679164	0.042824	0.744357	1.944111	
0.001000	0.045220	0.807983	1.598470	0.045688	0.785358	1.679807	
0.001000	0.035511	0.678467	1.117738	0.043921	0.740246	1.655039	
0.001000	0.043381	0.463786	1.968216	0.043844	0.487704	1.925713	
